Meses da pesquisa,Total,Recife,Salvador,Belo Horizonte,Rio de Janeiro,São Paulo,Porto Alegre
Estimativas (Em 1 000 pessoas),,,,,,,
2002,,,,,,,
   Março, 4 454,  289,  279,  500, 1 155, 1 802,  430
   Abril, 4 522,  306,  279,  502, 1 187, 1 837,  411
   Maio, 4 472,  297,  288,  508, 1 140, 1 801,  439
   Junho, 4 402,  303,  287,  497, 1 130, 1 762,  423
   Julho, 4 428,  317,  283,  535, 1 087, 1 762,  443
   Agosto, 4 434,  295,  305,  533, 1 094, 1 755,  452
   Setembro, 4 551,  315,  315,  539, 1 080, 1 841,  460
   Outubro, 4 498,  301,  313,  561, 1 056, 1 803,  464
   Novembro, 4 590,  311,  303,  560, 1 084, 1 866,  467
   Dezembro, 4 564,  309,  305,  539, 1 087, 1 850,  475
2003,,,,,,,
  Janeiro, 4 593,  330,  296,  540, 1 134, 1 841,  452
  Fevereiro, 4 638,  334,  283,  541, 1 185, 1 835,  460
  Março, 4 582,  328,  277,  527, 1 157, 1 831,  462
  Abril, 4 552,  323,  299,  555, 1 124, 1 790,  461
  Maio, 4 619,  327,  296,  564, 1 151, 1 825,  457
  Junho, 4 661,  317,  286,  543, 1 217, 1 861,  437
  Julho, 4 630,  309,  286,  532, 1 208, 1 858,  436
  Agosto, 4 638,  323,  279,  549, 1 204, 1 852,  431
  Setembro, 4 751,  317,  285,  555, 1 188, 1 961,  445
  Outubro, 4 664,  332,  289,  541, 1 198, 1 849,  454
  Novembro, 4 697,  321,  299,  546, 1 176, 1 897,  457
  Dezembro, 4 742,  337,  295,  554, 1 145, 1 943,  468
2004,,,,,,,
  Janeiro, 4 606,  317,  287,  530, 1 144, 1 876,  453
  Fevereiro, 4 590,  312,  285,  535, 1 159, 1 842,  458
  Março, 4 644,  319,  270,  538, 1 172, 1 895,  451
  Abril, 4 665,  317,  265,  538, 1 191, 1 903,  451
  Maio, 4 670,  311,  262,  539, 1 188, 1 912,  458
  Junho, 4 655,  309,  276,  537, 1 180, 1 912,  441
  Julho, 4 651,  285,  282,  546, 1 185, 1 914,  439
  Agosto, 4 662,  291,  280,  558, 1 170, 1 918,  446
  Setembro, 4 680,  291,  300,  556, 1 178, 1 907,  448
  Outubro, 4 677,  299,  311,  552, 1 168, 1 899,  448
  Novembro, 4 691,  309,  314,  558, 1 149, 1 929,  432
  Dezembro, 4 669,  313,  310,  546, 1 133, 1 926,  440
2005,,,,,,,
  Janeiro, 4 612,  316,  310,  515, 1 115, 1 931,  425
  Fevereiro, 4 470,  309,  296,  520, 1 094, 1 838,  414
  Março, 4 605,  304,  288,  519, 1 122, 1 939,  434
  Abril, 4 569,  307,  280,  516, 1 133, 1 902,  431
  Maio, 4 622,  301,  292,  537, 1 113, 1 928,  451
  Junho, 4 628,  301,  297,  538, 1 131, 1 906,  455
  Julho, 4 571,  304,  306,  530, 1 143, 1 854,  434
  Agosto, 4 589,  291,  305,  544, 1 141, 1 864,  446
  Setembro, 4 597,  283,  308,  551, 1 161, 1 862,  432
  Outubro, 4 610,  288,  314,  550, 1 143, 1 891,  424
  Novembro, 4 634,  292,  305,  534, 1 119, 1 940,  443
  Dezembro, 4 562,  306,  302,  501, 1 110, 1 902,  442
2006,,,,,,,
 Janeiro, 4 520,  302,  316,  489, 1 090, 1 898,  425
  Fevereiro, 4 421,  294,  298,  502, 1 084, 1 807,  436
  Março, 4 399,  295,  299,  509, 1 084, 1 772,  441
  Abril, 4 309,  276,  284,  479, 1 084, 1 775,  410
  Maio, 4 301,  291,  282,  517, 1 084, 1 712,  415
  Junho, 4 425,  312,  299,  526, 1 074, 1 778,  437
  Julho, 4 460,  308,  296,  546, 1 106, 1 796,  409
  Agosto, 4 576,  310,  297,  551, 1 131, 1 840,  446
  Setembro, 4 636,  327,  284,  553, 1 156, 1 883,  433
  Outubro, 4 547,  316,  294,  548, 1 117, 1 845,  427
  Novembro, 4 551,  329,  303,  544, 1 083, 1 851,  442
  Dezembro, 4 535,  314,  304,  528, 1 088, 1 871,  429
2007,,,,,,,
  Janeiro, 4 425,  306,  284,  503, 1 090, 1 815,  427
  Fevereiro, 4 371,  288,  285,  508, 1 094, 1 791,  405
  Março, 4 418,  292,  286,  526, 1 080, 1 818,  416
  Abril, 4 396,  290,  281,  535, 1 078, 1 800,  411
  Maio, 4 383,  270,  299,  523, 1 032, 1 849,  410
  Junho, 4 362,  280,  290,  517, 1 065, 1 799,  411
  Julho, 4 382,  283,  290,  532, 1 078, 1 779,  421
  Agosto, 4 457,  291,  286,  543, 1 093, 1 827,  416
  Setembro, 4 493,  292,  287,  550, 1 124, 1 802,  439
  Outubro, 4 492,  292,  291,  543, 1 106, 1 821,  439
  Novembro, 4 468,  307,  306,  531, 1 066, 1 804,  455
  Dezembro, 4 419,  289,  302,  547, 1 041, 1 793,  446
2008,,,,,,,
  Janeiro, 4 373,  287,  288,  511, 1 056, 1 778,  452
  Fevereiro, 4 300,  266,  286,  531, 1 030, 1 753,  434
  Março, 4 303,  285,  280,  535, 1 045, 1 736,  422
  Abril, 4 364,  278,  265,  534, 1 061, 1 819,  407
  Maio, 4 407,  285,  274,  520, 1 051, 1 862,  415
  Junho, 4 488,  298,  276,  535, 1 080, 1 890,  409
  Julho, 4 429,  300,  267,  537, 1 060, 1 841,  424
  Agosto, 4 430,  285,  281,  541, 1 047, 1 853,  423
  Setembro, 4 437,  290,  290,  553, 1 072, 1 806,  426
  Outubro, 4 359,  287,  290,  531, 1 042, 1 780,  429
  Novembro, 4 429,  293,  284,  559, 1 029, 1 835,  429
  Dezembro, 4 373,  297,  286,  518, 1 027, 1 818,  427
2009,,,,,,,
  Janeiro,  4 250,   288,   275,   501,  1 015,  1 752,   418
  Fevereiro,  4 202,   273,   272,   502,  1 003,  1 754,   397
  Março,  4 167,   266,   277,   517,   977,  1 733,   398
  Abril,  4 147,   263,   270,   520,   969,  1 737,   389
  Maio,  4 132,   271,   271,   522,   942,  1 739,   386
  Junho,  4 104,   278,   284,   520,   967,  1 662,   392
  Julho,  4 136,   280,   280,   532,   959,  1 693,   393
  Agosto,  4 099,   280,   290,   524,   958,  1 649,   399
  Setembro,  4 151,   276,   280,   532,   973,  1 686,   404
  Outubro,  4 114,   277,   283,   531,   964,  1 640,   420
  Novembro,  4 192,   297,   279,   524,  1 001,  1 667,   424
  Dezembro,  4 275,   311,   257,   532,  1 006,  1 735,   433
2010,,,,,,,
  Janeiro,  4 146,   266,   249,   512,   995,  1 714,   409
  Fevereiro,  4 117,   287,   260,   500,   961,  1 709,   401
  Março,  4 163,   270,   270,   514,   964,  1 747,   398
  Abril,  4 077,   267,   264,   526,   930,  1 691,   399
  Maio,  4 033,   269,   275,   531,   930,  1 638,   389
  Junho,  4 047,   275,   273,   532,   930,  1 618,   418
  Julho,  4 022,   269,   278,   520,   923,  1 615,   417
  Agosto,  4 009,   280,   283,   518,   915,  1 595,   419
  Setembro,  3 995,   279,   281,   514,   896,  1 608,   417
  Outubro,  4 008,   281,   274,   514,   901,  1 614,   424
  Novembro,  4 033,   275,   280,   523,   893,  1 641,   421
  Dezembro,  4 061,   277,   283,   513,   898,  1 663,   427
2011,,,,,,,
  Janeiro,  3 975,   266,   269,   507,   885,  1 663,   385
  Fevereiro,  3 885,   259,   249,   501,   879,  1 604,   393
  Março,  3 874,   268,   262,   480,   891,  1 570,   403
  Abril,  4 069,   293,   275,   520,   938,  1 643,   400
  Maio,  4 069,   294,   284,   526,   926,  1 624,   415
  Junho,  4 009,   284,   287,   502,   904,  1 628,   403
  Julho,  4 022,   275,   277,   515,   890,  1 671,   394
  Agosto,  4 021,   270,   250,   515,   893,  1 699,   393
  Setembro,  3 993,   273,   245,   509,   882,  1 678,   406
  Outubro,  3 922,   274,   241,   496,   877,  1 643,   391
  Novembro,  3 986,   296,   241,   506,   915,  1 644,   383
  Dezembro,  3 984,   311,   250,   501,   926,  1 598,   398
2012,,,,,,,
  Janeiro,  3 872,   295,   233,   499,   922,  1 532,   391
  Fevereiro,  3 897,   299,   234,   512,   927,  1 536,   389
  Março,  3 832,   291,   240,   492,   878,  1 548,   383
  Abril,  3 848,   291,   227,   496,   884,  1 575,   374
  Maio,  3 907,   294,   241,   515,   882,  1 590,   387
  Junho,  3 974,   298,   242,   483,   894,  1 686,   370
  Julho,  3 879,   292,   241,   477,   869,  1 630,   370
  Agosto,  3 878,   285,   242,   481,   866,  1 637,   367
  Setembro,  3 957,   300,   266,   515,   898,  1 610,   368
  Outurbro,  3 923,   300,   265,   494,   889,  1 596,   380
  Novembro,  3 898,   306,   243,   504,   880,  1 590,   375
  Dezembro,  3 837,   307,   243,   493,   879,  1 545,   370
2013,,,,,,,
  Janeiro,  3 715,   285,   244,   477,   855,  1 489,   365
  Fevereiro,  3 682,   280,   246,   463,   860,  1 467,   365
  Março,  3 739,   274,   239,   466,   864,  1 527,   370
  Abril,  3 685,   254,   242,   465,   833,  1 523,   368
  Maio,  3 762,   275,   249,   453,   823,  1 586,   376
  Junho,  3 688,   265,   256,   449,   794,  1 552,   372
  Julho,  3 748,   270,   258,   470,   773,  1 600,   375
  Agosto,  3 783,   263,   266,   469,   853,  1 559,   373
  Setembro,  3 688,   271,   252,   469,   842,  1 496,   360
  Outubro,  3 775,   264,   274,   481,   871,  1 528,   357
  Novembro,  3 678,   262,   271,   465,   838,  1 494,   348
  Dezembro,  3 667,   258,   266,   477,   809,  1 497,   360
2014,,,,,,,
  Janeiro,  3 595,   244,   253,   467,   795,  1 485,   351
  Fevereiro,  3 591,   255,   258,   458,   784,  1 497,   339
  Março,  3 575,   251,   247,   450,   775,  1 510,   343
  Abril,  3 572,   244,   241,   446,   772,  1 526,   343
  Maio,  3 533,   231,   244,   438,   765,  1 528,   328
  Junho,  3 516,   248,   264,   443,   752,  1 470,   338
  Julho,  3 486,   235,   267,   439,   753,  1 442,   351
  Agosto,  3 511,   243,   266,   460,   759,  1 445,   339
  Setembro,  3 430,   248,   260,   454,   726,  1 407,   336
  Outubro,  3 480,   238,   245,   439,   771,  1 430,   356
  Novembro,  3 505,   263,   244,   422,   762,  1 469,   346
  Dezembro,  3 518,   243,   262,   438,   732,  1 483,   362
2015,,,,,,,
  Janeiro,  3 459,   263,   251,   413,   740,  1 452,   339
  Fevereiro,  3 386,   245,   256,   401,   696,  1 442,   346
  Março,  3 332,   232,   263,   415,   682,  1 402,   339
  Abril,  3 403,   247,   251,   411,   705,  1 461,   326
  Maio,  3 363,   234,   255,   415,   702,  1 430,   327
  Junho,  3 332,   238,   255,   409,   713,  1 398,   319
  Julho,  3 276,   242,   248,   400,   689,  1 376,   320
  Agosto,  3 366,   244,   252,   407,   738,  1 409,   316
  Setembro,  3 226,   235,   250,   412,   694,  1 321,   314
  Outubro,  3 157,   238,   243,   367,   728,  1 271,   310
  Novembro,  3 229,   248,   237,   383,   707,  1 345,   309
  Dezembro,  3 215,   250,   231,   397,   686,  1 339,   313
2016,,,,,,,
  Janeiro,  3 065,   219,   220,   374,   630,  1 309,   314
  Fevereiro,  3 013,   219,   220,   379,   610,  1 276,   310
,,,,,,,
Coeficientes de variação (%),,,,,,,
2001,,,,,,,
   Março,"1,6","4,1","4,3","2,9","3,4","2,9","3,9"
   Abril,"1,5","4,0","4,4","3,0","3,1","2,8","3,4"
   Maio,"1,5","3,8","4,5","2,9","3,2","2,9","3,5"
   Junho,"1,5","3,7","4,6","2,8","3,0","2,9","3,1"
   Julho,"1,4","3,6","4,7","2,8","3,1","2,7","3,1"
   Agosto,"1,5","3,7","4,5","2,8","3,1","2,8","3,2"
   Setembro,"1,5","3,7","4,3","2,7","3,4","2,6","3,0"
   Outubro,"1,5","3,9","4,4","2,8","3,4","2,6","2,9"
   Novembro,"1,5","3,9","4,4","2,6","3,3","2,7","2,9"
   Dezembro,"1,5","4,1","4,5","2,9","3,4","2,7","2,8"
2003,,,,,,,
  Janeiro,"1,5","3,8","4,1","2,8","3,6","2,7","3,0"
  Fevereiro,"1,6","3,5","3,9","2,8","3,4","2,9","2,9"
  Março,"1,5","3,7","4,0","2,7","3,5","2,8","3,1"
  Abril,"1,5","3,7","4,0","2,7","3,4","2,8","3,1"
  Maio,"1,5","3,6","4,3","2,7","3,3","2,9","3,1"
  Junho,"1,5","3,6","4,3","2,7","3,2","2,7","3,3"
  Julho,"1,5","3,8","4,5","2,7","3,2","2,7","3,2"
  Agosto,"1,5","3,8","4,4","2,8","3,2","2,8","3,4"
  Setembro,"1,5","3,8","4,2","2,7","3,1","2,7","3,2"
  Outubro,"1,5","3,5","4,2","2,8","3,0","2,9","3,1"
  Novembro,"1,4","3,7","4,0","2,6","3,0","2,7","3,1"
  Dezembro,"1,5","3,5","4,2","2,5","3,2","2,8","3,0"
2004,,,,,,,
  Janeiro,"1,5","3,8","4,3","2,6","3,1","2,8","3,2"
  Fevereiro,"1,5","3,8","4,3","2,6","3,4","2,9","3,1"
  Março,"1,6","3,7","4,5","2,6","3,4","2,8","3,1"
  Abril,"1,6","3,7","4,3","2,8","3,4","2,9","3,1"
  Maio,"1,6","3,7","4,3","2,8","3,3","3,0","3,3"
  Junho,"1,5","3,9","4,5","3,0","3,1","2,8","3,3"
  Julho,"1,5","3,9","4,8","2,7","3,1","2,8","3,0"
  Agosto,"1,5","3,8","4,6","2,8","2,9","2,9","3,2"
  Setembro,"1,5","3,7","4,6","2,8","3,0","2,9","3,2"
  Outubro,"1,5","3,6","4,4","2,7","3,2","2,9","3,1"
  Novembro,"1,5","3,6","4,5","2,8","3,3","2,8","3,3"
  Dezembro,"1,5","3,8","4,3","2,7","3,3","2,8","3,1"
2005,,,,,,,
  Janeiro,"1,6","3,8","4,5","2,8","3,4","2,9","3,3"
  Fevereiro,"1,5","3,8","4,6","2,8","3,3","2,8","3,4"
  Março,"1,6","4,0","4,6","2,8","3,3","2,9","3,4"
  Abril,"1,5","3,9","4,5","2,8","3,3","2,8","3,4"
  Maio,"1,6","3,9","4,6","2,8","3,3","2,9","3,0"
  Junho,"1,6","3,7","4,3","2,7","3,3","2,9","3,1"
  Julho,"1,5","4,0","4,2","2,8","3,2","2,8","3,2"
  Agosto,"1,5","4,1","4,3","2,7","3,1","2,9","3,3"
  Setembro,"1,5","4,0","4,6","2,7","3,1","2,8","3,1"
  Outubro,"1,6","4,3","4,8","2,8","3,1","2,9","3,1"
  Novembro,"1,6","4,0","4,9","2,8","3,3","2,8","3,2"
  Dezembro,"1,6","3,8","4,5","2,9","3,3","2,9","3,0"
2006,,,,,,,
 Janeiro,"1,5","3,9","4,5","2,9","3,2","2,7","3,2"
  Fevereiro,"1,5","3,8","4,7","2,8","3,2","2,9","3,2"
  Março,"1,5","3,7","4,6","2,9","3,0","2,9","3,1"
  Abril,"1,6","3,7","4,8","2,8","3,2","3,1","3,1"
  Maio,"1,6","3,8","4,7","2,9","3,1","3,0","3,2"
  Junho,"1,6","3,7","4,5","2,8","3,3","3,0","2,8"
  Julho,"1,6","3,5","4,8","2,9","3,3","3,0","3,1"
  Agosto,"1,5","3,4","4,4","2,9","3,3","2,9","2,9"
  Setembro,"1,5","3,4","4,5","2,7","3,2","2,7","3,0"
  Outubro,"1,5","3,7","4,7","2,7","3,3","2,8","3,0"
  Novembro,"1,6","3,5","4,6","2,7","3,5","2,9","3,1"
  Dezembro,"1,6","3,7","4,7","2,9","3,3","2,9","3,2"
2007,,,,,,,
  Janeiro,"1,6","3,8","4,7","3,0","3,4","3,0","3,1"
  Fevereiro,"1,6","3,8","4,3","2,9","3,2","2,9","3,2"
  Março,"1,6","3,7","4,4","2,9","3,4","3,0","3,2"
  Abril,"1,6","4,0","4,5","2,9","3,3","2,9","3,0"
  Maio,"1,6","3,8","4,4","2,9","3,5","2,8","3,3"
  Junho,"1,6","3,7","4,5","2,8","3,5","3,0","3,3"
  Julho,"1,5","3,8","4,4","2,8","3,4","2,8","3,4"
  Agosto,"1,5","3,9","4,7","2,8","3,3","2,8","3,2"
  Setembro,"1,5","3,8","4,5","2,6","3,3","2,9","3,3"
  Outubro,"1,6","3,8","5,0","2,6","3,4","2,9","3,1"
  Novembro,"1,6","3,9","4,6","2,8","3,5","3,0","2,9"
  Dezembro,"1,6","4,0","4,7","2,8","3,6","3,0","3,1"
2008,,,,,,,
  Janeiro,"1,6","4,1","4,7","2,9","3,5","3,1","3,0"
  Fevereiro,"1,6","4,2","4,6","2,9","3,4","3,0","3,1"
  Março,"1,7","4,0","4,6","2,9","3,4","3,2","3,2"
  Abril,"1,7","4,3","4,8","2,8","3,4","3,1","3,3"
  Maio,"1,6","4,0","4,7","2,9","3,6","3,0","3,5"
  Junho,"1,6","3,9","4,7","2,9","3,4","2,9","3,5"
  Julho,"1,6","3,8","4,7","2,9","3,6","3,0","3,5"
  Agosto,"1,6","3,9","4,5","2,8","3,5","3,1","3,2"
  Setembro,"1,6","3,8","4,5","2,8","3,4","3,0","3,0"
  Outubro,"1,6","3,8","4,6","2,6","3,7","3,0","3,1"
  Novembro,"1,6","3,9","4,8","2,8","3,6","2,9","3,1"
  Dezembro,"1,7","3,9","4,7","2,9","3,6","3,1","3,5"
2009,,,,,,,
  Janeiro,"1,7","3,8","4,7","2,9","3,8","3,0","3,6"
  Fevereiro,"1,7","4,5","4,8","3,0","3,8","3,0","3,5"
  Março,"1,6","3,8","5,0","2,8","3,6","3,0","3,2"
  Abril,"1,6","4,6","5,2","2,8","3,7","2,9","3,5"
  Maio,"1,6","4,2","5,1","2,8","3,8","2,8","3,3"
  Junho,"1,6","4,3","4,9","2,9","3,7","2,9","3,2"
  Julho,"1,6","3,9","4,8","2,8","3,6","3,0","3,4"
  Agosto,"1,7","4,2","4,8","2,8","3,8","3,1","3,0"
  Setembro,"1,6","4,1","4,9","2,9","3,5","3,1","3,2"
  Outubro,"1,6","4,4","5,0","2,8","3,5","3,1","3,4"
  Novembro,"1,7","4,2","5,0","2,8","3,7","3,3","3,6"
  Dezembro,"1,7","4,0","5,0","3,0","3,5","3,3","3,5"
2010,,,,,,,
  Janeiro,"1,7","4,2","5,0","2,6","3,6","3,3","3,4"
  Fevereiro,"1,7","4,1","4,9","2,8","3,6","3,3","3,3"
  Março,"1,7","4,2","5,0","2,8","3,8","3,1","3,2"
  Abril,"1,7","4,2","5,3","2,9","3,9","3,1","3,3"
  Maio,"1,7","4,3","5,0","2,9","3,9","3,1","3,8"
  Junho,"1,7","4,4","5,0","2,7","3,8","3,1","3,8"
  Julho,"1,7","4,4","5,3","2,9","3,7","3,3","3,6"
  Agosto,"1,7","4,2","5,0","2,9","3,8","3,3","3,6"
  Setembro,"1,7","4,1","5,0","3,0","3,7","3,2","3,7"
  Outubro,"1,7","4,2","4,9","3,0","3,7","3,2","3,4"
  Novembro,"1,7","4,2","5,0","2,8","3,7","3,2","3,5"
  Dezembro,"1,7","4,1","5,0","3,0","3,9","3,3","3,4"
2011,,,,,,,
  Janeiro,"1,7","4,2","4,8","2,9","3,9","3,2","3,5"
  Fevereiro,"1,8","4,3","5,0","3,0","4,0","3,3","3,5"
  Março,"1,8","4,3","4,7","3,1","3,9","3,3","3,5"
  Abril,"1,7","4,1","4,6","2,8","3,7","3,3","3,8"
  Maio,"1,7","4,3","4,6","2,9","3,8","3,3","3,8"
  Junho,"1,7","4,0","4,9","2,9","3,9","3,3","3,6"
  Julho,"1,8","3,9","5,1","3,0","4,0","3,3","3,7"
  Agosto,"1,8","4,3","5,2","3,2","3,9","3,2","3,6"
  Setembro,"1,8","4,2","5,0","3,0","3,9","3,3","3,7"
  Outubro,"1,7","4,3","5,2","3,2","4,0","3,2","3,7"
  Novembro,"1,7","4,3","5,0","3,1","3,7","3,1","3,8"
  Dezembro,"1,7","3,9","4,9","2,8","3,8","3,2","3,6"
2012,,,,,,,
  Janeiro,"1,7","4,3","5,3","3,0","3,7","3,3","3,8"
  Fevereiro,"1,7","4,0","5,6","2,8","3,8","3,2","3,6"
  Março,"1,8","4,1","5,5","3,1","4,0","3,3","3,7"
  Abril,"1,8","4,1","5,5","2,8","3,9","3,5","3,7"
  Maio,"1,8","4,0","5,4","2,9","4,1","3,4","3,7"
  Junho,"1,8","4,0","5,8","3,1","3,9","3,2","3,7"
  Julho,"1,8","4,2","5,7","3,2","4,0","3,4","3,9"
  Agosto,"1,7","4,1","5,9","3,1","3,9","3,1","3,4"
  Setembro,"1,8","3,9","5,4","2,9","3,8","3,4","3,6"
  Outubro,"1,8","3,8","5,2","2,9","3,9","3,3","3,5"
  Novembro,"1,7","3,9","5,8","3,1","3,8","3,3","3,7"
  Dezembro,"1,8","3,9","5,4","3,0","4,0","3,3","3,9"
2013,,,,,,,
  Janeiro,"1,8","4,2","5,6","3,1","4,0","3,3","3,8"
  Fevereiro,"1,8","4,2","5,2","2,9","4,2","3,3","3,8"
  Março,"1,8","4,4","5,4","3,1","4,2","3,3","3,8"
  Abril,"1,9","4,7","5,8","3,1","4,2","3,5","3,7"
  Maio,"1,8","4,1","5,3","3,1","4,4","3,3","3,7"
  Junho,"1,8","4,5","5,4","3,1","4,3","3,4","3,7"
  Julho,"1,8","4,5","5,2","3,2","4,2","3,3","3,6"
  Agosto,"1,8","4,6","4,8","3,0","3,9","3,4","3,5"
  Setembro,"1,8","4,4","5,4","3,2","3,9","3,4","3,9"
  Outubro,"1,7","4,5","5,1","3,0","4,0","3,2","3,7"
  Novembro,"1,8","4,4","5,2","3,0","4,0","3,4","3,9"
  Dezembro,"1,8","4,4","5,1","3,0","4,1","3,4","3,8"
2014,,,,,,,
  Janeiro,"1,8","4,4","4,8","2,9","4,2","3,4","3,9"
  Fevereiro,"1,9","4,6","5,2","3,2","4,2","3,6","4,0"
  Março,"1,9","4,9","5,3","3,0","4,4","3,4","4,0"
  Abril,"1,9","4,9","5,5","3,0","4,2","3,6","3,8"
  Maio,"2,0","5,3","5,1","3,3","5,0","3,5","4,2"
  Junho,"1,9","4,9","4,5","3,1","4,6","3,5","4,4"
  Julho,"2,0","5,2","4,9","3,4","4,6","3,6","4,1"
  Agosto,"1,9","4,8","4,9","3,3","4,5","3,5","3,8"
  Setembro,"1,9","4,4","4,8","3,3","4,4","3,7","4,2"
  Outubro,"2,0","4,8","5,3","3,2","4,3","3,8","4,1"
  Novembro,"2,0","4,9","5,0","3,2","4,3","3,8","4,1"
  Dezembro,"2,0","5,1","5,4","3,2","4,2","3,8","3,9"
2015,,,,,,,
  Janeiro,"2,0","4,6","4,9","3,4","4,2","3,9","4,1"
  Fevereiro,"2,1","4,9","5,1","3,3","4,1","4,1","3,9"
  Março,"2,0","5,0","5,3","3,3","4,0","3,9","4,1"
  Abril,"2,1","4,4","6,1","3,1","4,4","3,9","4,3"
  Maio,"2,0","4,7","6,6","3,3","4,7","3,7","4,2"
  Junho,"2,0","4,7","6,3","3,3","4,5","3,7","4,1"
  Julho,"2,1","4,8","5,6","3,3","4,5","3,9","4,0"
  Agosto,"2,0","4,4","5,4","3,2","4,5","3,8","4,2"
  Setembro,"2,0","4,9","5,2","3,3","4,7","3,8","4,4"
  Outubro,"2,0","5,1","5,4","3,5","4,5","3,8","4,2"
  Novembro,"2,1","4,8","5,0","3,5","4,7","4,0","4,4"
  Dezembro,"2,2","4,5","5,5","3,4","5,0","4,1","4,3"
2016,,,,,,,
  Janeiro,"2,2","5,1","5,7","3,5","4,8","4,2","4,2"
  Fevereiro,"2,2","5,0","5,7","3,6","4,6","4,3","4,2"
,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Mensal de Emprego mar.2002-fev.2016.",,,,,,,