Unidade da Federação / Categoria Administrativa,Seleção para Vagas Novas -  Vagas Oferecidas Total Geral,Seleção para Vagas Novas - Candidatos Inscritos Total Geral,Seleção para Vagas Novas - Ingressos Total Geral,Seleção para Vagas Novas - Vagas Oferecidas Universidades,Seleção para Vagas Novas - Candidatos Inscritos Universidades,Seleção para Vagas Novas - Ingressos Universidades,Seleção para Vagas Novas - Vagas Oferecidas Centros Universitários,Seleção para Vagas Novas - Candidatos Inscritos Centros Universitários,Seleção para Vagas Novas - Ingressos Centros Universitários,Seleção para Vagas Novas - Vagas Oferecidas Faculdades,Seleção para Vagas Novas - Candidatos Inscritos Faculdades,Seleção para Vagas Novas - Ingressos Faculdades,Seleção para Vagas Novas - Vagas Oferecidas IF e CEFET,Seleção para Vagas Novas - Candidatos Inscritos IF e CEFET,Seleção para Vagas Novas - Ingressos IF e CEFET,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Total Geral,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Total Geral,Seleção para Vagas de Programas Especiais - Ingressos Total Geral,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Universidades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Universidades,Seleção para Vagas de Programas Especiais - Ingressos Universidades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Centros Universitários,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Centros Universitários,Seleção para Vagas de Programas Especiais - Ingressos Centros Universitários,Seleção para Vagas de Programas Especiais - Vagas Oferecidas Faculdades,Seleção para Vagas de Programas Especiais - Candidatos Inscritos Faculdades,Seleção para Vagas de Programas Especiais - Ingressos Faculdades,Seleção para Vagas de Programas Especiais - Vagas Oferecidas IF e CEFET,Seleção para Vagas de Programas Especiais - Candidatos Inscritos IF e CEFET,Seleção para Vagas de Programas Especiais - Ingressos IF e CEFET,Seleção para Vagas Remanescentes - Vagas Oferecidas Total Geral,Seleção para Vagas Remanescentes - Candidatos Inscritos Total Geral,Seleção para Vagas Remanescentes - Ingressos Total Geral,Seleção para Vagas Remanescentes - Vagas Oferecidas Universidades,Seleção para Vagas Remanescentes - Candidatos Inscritos Universidades,Seleção para Vagas Remanescentes - Ingressos Universidades,Seleção para Vagas Remanescentes - Vagas Oferecidas Centros Universitários,Seleção para Vagas Remanescentes - Candidatos Inscritos Centros Universitários,Seleção para Vagas Remanescentes - Ingressos Centros Universitários,Seleção para Vagas Remanescentes - Vagas Oferecidas Faculdades,Seleção para Vagas Remanescentes - Candidatos Inscritos Faculdades,Seleção para Vagas Remanescentes - Ingressos Faculdades,Seleção para Vagas Remanescentes - Vagas Oferecidas IF e CEFET,Seleção para Vagas Remanescentes - Candidatos Inscritos IF e CEFET,Seleção para Vagas Remanescentes - Ingressos IF e CEFET
Pública,  2.785 ,  54.382 ,  2.792 ,  2.545 ,  46.596 ,  2.569 , . , . , . , . , . , . ,  240 ,  7.786 ,  223 ,  290 ,  290 ,  211 ,  290 ,  290 ,  211 , . , . , . , . , . , . ,  - ,  - ,  - ,  1.906 ,  3.016 ,  1 ,  1.563 ,  783 ,  1 , . , . , . , . , . , . ,  343 ,  2.233 ,  - 
Federal,  2.235 ,  44.724 ,  2.342 ,  1.995 ,  36.938 ,  2.119 , . , . , . , . , . , . ,  240 ,  7.786 ,  223 ,  290 ,  290 ,  211 ,  290 ,  290 ,  211 , . , . , . , . , . , . ,  - ,  - ,  - ,  983 ,  2.993 ,  1 ,  640 ,  760 ,  1 , . , . , . , . , . , . ,  343 ,  2.233 ,  - 
Estadual,  550 ,  9.658 ,  450 ,  550 ,  9.658 ,  450 , . , . , . , . , . , . , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . , . , . , . ,  923 ,  23 ,  - ,  923 ,  23 ,  - , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  13.960 ,  23.791 ,  7.855 , . , . , . , . , . , . ,  13.960 ,  23.791 ,  7.855 , . , . , . ,  100 ,  100 ,  98 , . , . , . , . , . , . ,  100 ,  100 ,  98 , . , . , . ,  4.036 ,  6.318 ,  630 , . , . , . , . , . , . ,  4.036 ,  6.318 ,  630 , . , . , . 
Tocantins,  21.432 ,  150.564 ,  13.969 ,  4.220 ,  88.502 ,  3.157 ,  4.140 ,  16.032 ,  3.102 ,  11.822 ,  35.104 ,  6.546 ,  1.250 ,  10.926 ,  1.164 ,  247 ,  252 ,  9 ,  - ,  - ,  - ,  - ,  - ,  - ,  247 ,  252 ,  9 ,  - ,  - ,  - ,  8.454 ,  6.248 ,  1.121 ,  824 ,  3.596 ,  63 ,  1.296 ,  982 ,  353 ,  6.235 ,  1.622 ,  678 ,  99 ,  48 ,  27 
Pública,  8.060 ,  108.113 ,  5.917 ,  4.220 ,  88.502 ,  3.157 ,  1.920 ,  8.303 ,  1.250 ,  670 ,  382 ,  346 ,  1.250 ,  10.926 ,  1.164 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  2.462 ,  4.321 ,  212 ,  824 ,  3.596 ,  63 ,  884 ,  659 ,  119 ,  655 ,  18 ,  3 ,  99 ,  48 ,  27 
Federal,  4.990 ,  95.897 ,  3.893 ,  3.740 ,  84.971 ,  2.729 , . , . , . , . , . , . ,  1.250 ,  10.926 ,  1.164 ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - ,  535 ,  3.548 ,  60 ,  436 ,  3.500 ,  33 , . , . , . , . , . , . ,  99 ,  48 ,  27 
Estadual,  480 ,  3.531 ,  428 ,  480 ,  3.531 ,  428 , . , . , . , . , . , . , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . , . , . , . ,  388 ,  96 ,  30 ,  388 ,  96 ,  30 , . , . , . , . , . , . , . , . , . 
Municipal,  2.590 ,  8.685 ,  1.596 , . , . , . ,  1.920 ,  8.303 ,  1.250 ,  670 ,  382 ,  346 , . , . , . ,  - ,  - ,  - , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  1.539 ,  677 ,  122 , . , . , . ,  884 ,  659 ,  119 ,  655 ,  18 ,  3 , . , . , . 
Privada,  13.372 ,  42.451 ,  8.052 , . , . , . ,  2.220 ,  7.729 ,  1.852 ,  11.152 ,  34.722 ,  6.200 , . , . , . ,  247 ,  252 ,  9 , . , . , . ,  - ,  - ,  - ,  247 ,  252 ,  9 , . , . , . ,  5.992 ,  1.927 ,  909 , . , . , . ,  412 ,  323 ,  234 ,  5.580 ,  1.604 ,  675 , . , . , . 
Nordeste,  664.071 ,  3.809.557 ,  389.407 ,  185.419 ,  2.399.129 ,  145.607 ,  77.327 ,  192.405 ,  50.199 ,  385.092 ,  710.830 ,  180.008 ,  16.233 ,  507.193 ,  13.593 ,  7.986 ,  6.965 ,  4.468 ,  5.648 ,  5.059 ,  4.108 ,  23 ,  23 ,  - ,  2.047 ,  1.578 ,  97 ,  268 ,  305 ,  263 ,  323.695 ,  242.839 ,  45.921 ,  49.589 ,  55.784 ,  17.752 ,  88.922 ,  77.870 ,  9.492 ,  182.387 ,  105.425 ,  18.100 ,  2.797 ,  3.760 ,  577 
Pública,  143.428 ,  2.756.691 ,  125.964 ,  117.781 ,  2.234.599 ,  107.472 , . , . , . ,  9.414 ,  14.899 ,  4.899 ,  16.233 ,  507.193 ,  13.593 ,  6.159 ,  5.572 ,  4.449 ,  5.648 ,  5.059 ,  4.108 , . , . , . ,  243 ,  208 ,  78 ,  268 ,  305 ,  263 ,  34.285 ,  43.493 ,  8.465 ,  30.621 ,  39.254 ,  7.716 , . , . , . ,  867 ,  479 ,  172 ,  2.797 ,  3.760 ,  577 
Federal,  96.853 ,  2.249.302 ,  85.785 ,  80.620 ,  1.742.109 ,  72.192 , . , . , . , . , . , . ,  16.233 ,  507.193 ,  13.593 ,  2.789 ,  2.379 ,  2.122 ,  2.521 ,  2.074 ,  1.859 , . , . , . , . , . , . ,  268 ,  305 ,  263 ,  22.547 ,  35.885 ,  7.363 ,  19.750 ,  32.125 ,  6.786 , . , . , . , . , . , . ,  2.797 ,  3.760 ,  577 
Estadual,  37.422 ,  492.784 ,  35.361 ,  37.161 ,  492.490 ,  35.280 , . , . , . ,  261 ,  294 ,  81 , . , . , . ,  3.322 ,  3.180 ,  2.327 ,  3.127 ,  2.985 ,  2.249 , . , . , . ,  195 ,  195 ,  78 , . , . , . ,  10.871 ,  7.129 ,  930 ,  10.871 ,  7.129 ,  930 , . , . , . ,  - ,  - ,  - , . , . , . 
Municipal,  9.153 ,  14.605 ,  4.818 , . , . , . , . , . , . ,  9.153 ,  14.605 ,  4.818 , . , . , . ,  48 ,  13 ,  - , . , . , . , . , . , . ,  48 ,  13 ,  - , . , . , . ,  867 ,  479 ,  172 , . , . , . , . , . , . ,  867 ,  479 ,  172 , . , . , . 
Privada,  520.643 ,  1.052.866 ,  263.443 ,  67.638 ,  164.530 ,  38.135 ,  77.327 ,  192.405 ,  50.199 ,  375.678 ,  695.931 ,  175.109 , . , . , . ,  1.827 ,  1.393 ,  19 ,  - ,  - ,  - ,  23 ,  23 ,  - ,  1.804 ,  1.370 ,  19 , . , . , . ,  289.410 ,  199.346 ,  37.456 ,  18.968 ,  16.530 ,  10.036 ,  88.922 ,  77.870 ,  9.492 ,  181.520 ,  104.946 ,  17.928 , . , . , . 
Maranhão,  55.862 ,  199.983 ,  34.964 ,  17.163 ,  72.229 ,  14.420 , . , . , . ,  37.263 ,  87.039 ,  19.427 ,  1.436 ,  40.715 ,  1.117 ,  2.026 ,  1.412 ,  1.384 ,  1.879 ,  1.238 ,  1.238 , . , . , . ,  - ,  - ,  - ,  147 ,  174 ,  146 ,  17.041 ,  12.937 ,  3.862 ,  6.417 ,  3.158 ,  1.582 , . , . , . ,  10.106 ,  9.456 ,  2.212 ,  518 ,  323 ,  68 
Pública,  11.015 ,  77.095 ,  9.083 ,  9.579 ,  36.380 ,  7.966 , . , . , . , . , . , . ,  1.436 ,  40.715 ,  1.117 ,  2.026 ,  1.412 ,  1.384 ,  1.879 ,  1.238 ,  1.238 , . , . , . , . , . , . ,  147 ,  174 ,  146 ,  5.864 ,  2.045 ,  772 ,  5.346 ,  1.722 ,  704 , . , . , . , . , . , . ,  518 ,  323 ,  68 
Federal,  7.332 ,  46.019 ,  6.388 ,  5.896 ,  5.304 ,  5.271 , . , . , . , . , . , . ,  1.436 ,  40.715 ,  1.117 ,  1.994 ,  1.375 ,  1.384 ,  1.847 ,  1.201 ,  1.238 , . , . , . , . , . , . ,  147 ,  174 ,  146 ,  2.340 ,  1.028 ,  757 ,  1.822 ,  705 ,  689 , . , . , . , . , . , . ,  518 ,  323 ,  68 
Estadual,  3.683 ,  31.076 ,  2.695 ,  3.683 ,  31.076 ,  2.695 , . , . , . , . , . , . , . , . , . ,  32 ,  37 ,  - ,  32 ,  37 ,  - , . , . , . , . , . , . , . , . , . ,  3.524 ,  1.017 ,  15 ,  3.524 ,  1.017 ,  15 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  44.847 ,  122.888 ,  25.881 ,  7.584 ,  35.849 ,  6.454 , . , . , . ,  37.263 ,  87.039 ,  19.427 , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . ,  - ,  - ,  - , . , . , . ,  11.177 ,  10.892 ,  3.090 ,  1.071 ,  1.436 ,  878 , . , . , . ,  10.106 ,  9.456 ,  2.212 , . , . , . 
Piauí,  39.142 ,  286.380 ,  23.745 ,  9.782 ,  208.806 ,  7.824 ,  2.187 ,  6.257 ,  1.807 ,  25.998 ,  41.906 ,  13.029 ,  1.175 ,  29.411 ,  1.085 ,  1.453 ,  1.319 ,  1.266 ,  1.319 ,  1.278 ,  1.236 ,  - ,  - ,  - ,  94 ,  - ,  - ,  40 ,  41 ,  30 ,  11.749 ,  8.697 ,  1.087 ,  505 ,  954 ,  67 ,  1.076 ,  330 ,  233 ,  10.139 ,  7.384 ,  763 ,  29 ,  29 ,  24 
Pública,  10.957 ,  238.217 ,  8.909 ,  9.782 ,  208.806 ,  7.824 , . , . , . , . , . , . ,  1.175 ,  29.411 ,  1.085 ,  1.359 ,  1.319 ,  1.266 ,  1.319 ,  1.278 ,  1.236 , . , . , . , . , . , . ,  40 ,  41 ,  30 ,  534 ,  983 ,  91 ,  505 ,  954 ,  67 , . , . , . , . , . , . ,  29 ,  29 ,  24 
Federal,  7.807 ,  235.379 ,  6.216 ,  6.632 ,  205.968 ,  5.131 , . , . , . , . , . , . ,  1.175 ,  29.411 ,  1.085 ,  476 ,  477 ,  460 ,  436 ,  436 ,  430 , . , . , . , . , . , . ,  40 ,  41 ,  30 ,  522 ,  969 ,  77 ,  493 ,  940 ,  53 , . , . , . , . , . , . ,  29 ,  29 ,  24 
Estadual,  3.150 ,  2.838 ,  2.693 ,  3.150 ,  2.838 ,  2.693 , . , . , . , . , . , . , . , . , . ,  883 ,  842 ,  806 ,  883 ,  842 ,  806 , . , . , . , . , . , . , . , . , . ,  12 ,  14 ,  14 ,  12 ,  14 ,  14 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  28.185 ,  48.163 ,  14.836 , . , . , . ,  2.187 ,  6.257 ,  1.807 ,  25.998 ,  41.906 ,  13.029 , . , . , . ,  94 ,  - ,  - , . , . , . ,  - ,  - ,  - ,  94 ,  - ,  - , . , . , . ,  11.215 ,  7.714 ,  996 , . , . , . ,  1.076 ,  330 ,  233 ,  10.139 ,  7.384 ,  763 , . , . , . 
Ceará,  103.122 ,  672.179 ,  68.630 ,  24.106 ,  314.856 ,  19.481 ,  18.467 ,  82.686 ,  17.326 ,  56.400 ,  98.514 ,  27.919 ,  4.149 ,  176.123 ,  3.904 ,  1.831 ,  1.795 ,  1.309 ,  1.457 ,  1.445 ,  1.305 ,  23 ,  23 ,  - ,  351 ,  327 ,  4 ,  - ,  - ,  - ,  76.896 ,  67.852 ,  9.932 ,  8.084 ,  12.436 ,  3.431 ,  40.634 ,  44.771 ,  3.497 ,  27.800 ,  10.110 ,  2.687 ,  378 ,  535 ,  317 
Pública,  20.921 ,  469.792 ,  18.902 ,  16.772 ,  293.669 ,  14.998 , . , . , . , . , . , . ,  4.149 ,  176.123 ,  3.904 ,  1.457 ,  1.445 ,  1.305 ,  1.457 ,  1.445 ,  1.305 , . , . , . , . , . , . ,  - ,  - ,  - ,  3.369 ,  6.912 ,  2.023 ,  2.991 ,  6.377 ,  1.706 , . , . , . , . , . , . ,  378 ,  535 ,  317 
Federal,  12.729 ,  404.977 ,  11.856 ,  8.580 ,  228.854 ,  7.952 , . , . , . , . , . , . ,  4.149 ,  176.123 ,  3.904 ,  20 ,  18 ,  - ,  20 ,  18 ,  - , . , . , . , . , . , . ,  - ,  - ,  - ,  1.549 ,  4.195 ,  1.464 ,  1.171 ,  3.660 ,  1.147 , . , . , . , . , . , . ,  378 ,  535 ,  317 
Estadual,  8.192 ,  64.815 ,  7.046 ,  8.192 ,  64.815 ,  7.046 , . , . , . , . , . , . , . , . , . ,  1.437 ,  1.427 ,  1.305 ,  1.437 ,  1.427 ,  1.305 , . , . , . , . , . , . , . , . , . ,  1.820 ,  2.717 ,  559 ,  1.820 ,  2.717 ,  559 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  82.201 ,  202.387 ,  49.728 ,  7.334 ,  21.187 ,  4.483 ,  18.467 ,  82.686 ,  17.326 ,  56.400 ,  98.514 ,  27.919 , . , . , . ,  374 ,  350 ,  4 ,  - ,  - ,  - ,  23 ,  23 ,  - ,  351 ,  327 ,  4 , . , . , . ,  73.527 ,  60.940 ,  7.909 ,  5.093 ,  6.059 ,  1.725 ,  40.634 ,  44.771 ,  3.497 ,  27.800 ,  10.110 ,  2.687 , . , . , . 
Rio Grande do Norte,  50.492 ,  198.965 ,  29.626 ,  29.054 ,  141.035 ,  20.208 ,  5.270 ,  7.084 ,  2.504 ,  14.321 ,  17.293 ,  5.276 ,  1.847 ,  33.553 ,  1.638 ,  345 ,  275 ,  101 ,  25 ,  23 ,  23 ,  - ,  - ,  - ,  320 ,  252 ,  78 ,  - ,  - ,  - ,  19.822 ,  20.063 ,  3.172 ,  3.528 ,  9.336 ,  1.753 ,  784 ,  676 ,  293 ,  15.342 ,  8.193 ,  1.121 ,  168 ,  1.858 ,  5 
Pública,  15.685 ,  147.035 ,  13.800 ,  13.577 ,  113.188 ,  12.081 , . , . , . ,  261 ,  294 ,  81 ,  1.847 ,  33.553 ,  1.638 ,  220 ,  218 ,  101 ,  25 ,  23 ,  23 , . , . , . ,  195 ,  195 ,  78 ,  - ,  - ,  - ,  2.299 ,  9.793 ,  867 ,  2.131 ,  7.935 ,  862 , . , . , . ,  - ,  - ,  - ,  168 ,  1.858 ,  5 
Federal,  13.212 ,  144.529 ,  11.443 ,  11.365 ,  110.976 ,  9.805 , . , . , . , . , . , . ,  1.847 ,  33.553 ,  1.638 ,  25 ,  23 ,  23 ,  25 ,  23 ,  23 , . , . , . , . , . , . ,  - ,  - ,  - ,  2.042 ,  9.763 ,  838 ,  1.874 ,  7.905 ,  833 , . , . , . , . , . , . ,  168 ,  1.858 ,  5 
Estadual,  2.473 ,  2.506 ,  2.357 ,  2.212 ,  2.212 ,  2.276 , . , . , . ,  261 ,  294 ,  81 , . , . , . ,  195 ,  195 ,  78 ,  - ,  - ,  - , . , . , . ,  195 ,  195 ,  78 , . , . , . ,  257 ,  30 ,  29 ,  257 ,  30 ,  29 , . , . , . ,  - ,  - ,  - , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  34.807 ,  51.930 ,  15.826 ,  15.477 ,  27.847 ,  8.127 ,  5.270 ,  7.084 ,  2.504 ,  14.060 ,  16.999 ,  5.195 , . , . , . ,  125 ,  57 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  125 ,  57 ,  - , . , . , . ,  17.523 ,  10.270 ,  2.305 ,  1.397 ,  1.401 ,  891 ,  784 ,  676 ,  293 ,  15.342 ,  8.193 ,  1.121 , . , . , . 
Paraíba,  55.652 ,  401.242 ,  38.916 ,  15.770 ,  272.701 ,  16.074 ,  7.936 ,  16.359 ,  5.046 ,  29.734 ,  43.948 ,  15.915 ,  2.212 ,  68.234 ,  1.881 ,  108 ,  116 ,  60 ,  42 ,  41 ,  28 ,  - ,  - ,  - ,  35 ,  35 ,  - ,  31 ,  40 ,  32 ,  14.866 ,  10.558 ,  2.077 ,  5.101 ,  4.455 ,  1.084 ,  - ,  - ,  - ,  9.586 ,  5.995 ,  972 ,  179 ,  108 ,  21 
Pública,  17.982 ,  340.935 ,  17.955 ,  15.770 ,  272.701 ,  16.074 , . , . , . , . , . , . ,  2.212 ,  68.234 ,  1.881 ,  73 ,  81 ,  60 ,  42 ,  41 ,  28 , . , . , . , . , . , . ,  31 ,  40 ,  32 ,  5.280 ,  4.563 ,  1.105 ,  5.101 ,  4.455 ,  1.084 , . , . , . , . , . , . ,  179 ,  108 ,  21 
Federal,  14.647 ,  310.524 ,  13.022 ,  12.435 ,  242.290 ,  11.141 , . , . , . , . , . , . ,  2.212 ,  68.234 ,  1.881 ,  73 ,  81 ,  60 ,  42 ,  41 ,  28 , . , . , . , . , . , . ,  31 ,  40 ,  32 ,  4.598 ,  4.147 ,  986 ,  4.419 ,  4.039 ,  965 , . , . , . , . , . , . ,  179 ,  108 ,  21 
Estadual,  3.335 ,  30.411 ,  4.933 ,  3.335 ,  30.411 ,  4.933 , . , . , . , . , . , . , . , . , . ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . , . , . , . ,  682 ,  416 ,  119 ,  682 ,  416 ,  119 , . , . , . , . , . , . , . , . , . 
Municipal, . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . 
Privada,  37.670 ,  60.307 ,  20.961 , . , . , . ,  7.936 ,  16.359 ,  5.046 ,  29.734 ,  43.948 ,  15.915 , . , . , . ,  35 ,  35 ,  - , . , . , . ,  - ,  - ,  - ,  35 ,  35 ,  - , . , . , . ,  9.586 ,  5.995 ,  972 , . , . , . ,  - ,  - ,  - ,  9.586 ,  5.995 ,  972 , . , . , . 
Pernambuco,  125.144 ,  587.562 ,  66.420 ,  22.743 ,  433.117 ,  18.482 ,  20.531 ,  17.074 ,  10.326 ,  80.427 ,  112.734 ,  36.250 ,  1.443 ,  24.637 ,  1.362 ,  1.011 ,  779 ,  25 ,  170 ,  28 ,  17 ,  - ,  - ,  - ,  841 ,  751 ,  8 ,  - ,  - ,  - ,  50.177 ,  32.451 ,  5.543 ,  6.766 ,  2.822 ,  1.389 ,  9.089 ,  4.141 ,  202 ,  33.060 ,  24.813 ,  3.896 ,  1.262 ,  675 ,  56 
Pública,  25.219 ,  460.122 ,  21.054 ,  14.623 ,  420.880 ,  14.874 , . , . , . ,  9.153 ,  14.605 ,  4.818 ,  1.443 ,  24.637 ,  1.362 ,  218 ,  41 ,  17 ,  170 ,  28 ,  17 , . , . , . ,  48 ,  13 ,  - ,  - ,  - ,  - ,  5.660 ,  2.655 ,  737 ,  3.531 ,  1.501 ,  509 , . , . , . ,  867 ,  479 ,  172 ,  1.262 ,  675 ,  56 
Federal,  12.595 ,  378.202 ,  12.311 ,  11.152 ,  353.565 ,  10.949 , . , . , . , . , . , . ,  1.443 ,  24.637 ,  1.362 ,  - ,  - ,  - ,  - ,  - ,  - , . , . , . , . , . , . ,  - ,  - ,  - ,  4.485 ,  2.060 ,  562 ,  3.223 ,  1.385 ,  506 , . , . , . , . , . , . ,  1.262 ,  675 ,  56 
Estadual,  3.471 ,  67.315 ,  3.925 ,  3.471 ,  67.315 ,  3.925 , . , . , . , . , . , . , . , . , . ,  170 ,  28 ,  17 ,  170 ,  28 ,  17 , . , . , . , . , . , . , . , . , . ,  308 ,  116 ,  3 ,  308 ,  116 ,  3 , . , . , . , . , . , . , . , . , . 
Municipal,  9.153 ,  14.605 ,  4.818 , . , . , . , . , . , . ,  9.153 ,  14.605 ,  4.818 , . , . , . ,  48 ,  13 ,  - , . , . , . , . , . , . ,  48 ,  13 ,  - , . , . , . ,  867 ,  479 ,  172 , . , . , . , . , . , . ,  867 ,  479 ,  172 , . , . , . 
Privada,  99.925 ,  127.440 ,  45.366 ,  8.120 ,  12.237 ,  3.608 ,  20.531 ,  17.074 ,  10.326 ,  71.274 ,  98.129 ,  31.432 , . , . , . ,  793 ,  738 ,  8 ,  - ,  - ,  - ,  - ,  - ,  - ,  793 ,  738 ,  8 , . , . , . ,  44.517 ,  29.796 ,  4.806 ,  3.235 ,  1.321 ,  880 ,  9.089 ,  4.141 ,  202 ,  32.193 ,  24.334 ,  3.724 , . , . , . 
