Unidade da Federação,Total Geral,Total - Universidades,Federal - Universidades,Estadual - Universidades,Municipal - Universidades,Particular - Universidades,Total - Federações de Escolas e Faculdades Integradas,Federal - Federações de Escolas e Faculdades Integradas,Estadual - Federações de Escolas e Faculdades Integradas,Municipal - Federações de Escolas e Faculdades Integradas,Particular - Federações de Escolas e Faculdades Integradas,Total - Estabelecimentos Isolados,Federal - Estabelecimentos Isolados,Estadual - Estabelecimentos Isolados,Municipal - Estabelecimentos Isolados,Particular - Estabelecimentos Isolados
,,,,,,,,,,,,,,,,
Brasil,894,135,39,27,6,63,111,0,5,5,101,648,18,44,66,520
,,,,,,,,,,,,,,,,
Norte,31,9,6,2,0,1,1,0,0,0,1,21,2,1,1,17
Rondônia,7,1,1,0,0,0,1,0,0,0,1,5,0,0,0,5
Acre,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,10,1,1,0,0,0,0,0,0,0,0,9,1,1,0,7
Roraima,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pará,8,3,1,1,0,1,0,0,0,0,0,5,1,0,0,4
Amapá,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Tocantins,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
,,,,,,,,,,,,,,,,
Nordeste,92,26,10,12,0,4,8,0,2,0,6,58,3,1,10,44
Maranhão,4,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0
Piauí,5,2,1,1,0,0,0,0,0,0,0,3,0,0,0,3
Ceará,8,5,1,3,0,1,1,0,0,0,1,2,0,0,0,2
R. G. do Norte,5,2,1,1,0,0,2,0,0,0,2,1,1,0,0,0
Paraíba,8,2,1,1,0,0,1,0,0,0,1,5,0,0,0,5
Pernambuco,32,4,2,1,0,1,0,0,0,0,0,28,0,0,10,18
Alagoas,7,1,1,0,0,0,2,0,2,0,0,4,0,1,0,3
Sergipe,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
Bahia,20,6,1,4,0,1,1,0,0,0,1,13,1,0,0,12
,,,,,,,,,,,,,,,,
Sudeste,561,61,13,6,1,41,72,0,1,0,71,428,10,17,41,360
Minas Gerais,132,12,6,2,0,4,6,0,0,0,6,114,6,8,7,93
Espírito Santo,24,1,1,0,0,0,4,0,1,0,3,19,0,1,3,15
Rio de Janeiro,93,15,4,1,0,10,21,0,0,0,21,57,3,0,1,53
São Paulo,312,33,2,3,1,27,41,0,0,0,41,238,1,8,30,199
,,,,,,,,,,,,,,,,
Sul,120,29,6,5,5,13,8,0,0,1,7,83,3,13,5,62
Paraná,56,7,1,4,0,2,3,0,0,0,3,46,1,13,4,28
Santa Catarina,20,7,1,1,5,0,2,0,0,1,1,11,0,0,1,10
R. G. do Sul,44,15,4,0,0,11,3,0,0,0,3,26,2,0,0,24
,,,,,,,,,,,,,,,,
Centro-Oeste,90,10,4,2,0,4,22,0,2,4,16,58,0,12,9,37
M.G. do Sul,19,2,1,0,0,1,4,0,0,0,4,13,0,0,0,13
Mato Grosso,23,3,1,1,0,1,11,0,2,0,9,9,0,0,0,9
Goiás,35,3,1,1,0,1,5,0,0,4,1,27,0,12,9,6
Distrito Federal,13,2,1,0,0,1,2,0,0,0,2,9,0,0,0,9
,,,,,,,,,,,,,,,,
Fonte: MEC/INEP/SEEC,,,,,,,,,,,,,,,,